<<<<<<< HEAD
couple boulon saxe,45 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5069958_uploaded_image1_1733056070.jpg,poules-lapins-et-pigeons
Couple adulte métisses,35 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5064256_uploaded_image1_1732714222.jpg,poules-lapins-et-pigeons
Poule Brahma,45 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5044135_uploaded_image1_1731603018.jpg,poules-lapins-et-pigeons
Couple mantau écailles de 2 mois,15 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5043101_uploaded_image1_1731565347.jpg,poules-lapins-et-pigeons
lapins mâle adulte,15 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5000540_uploaded_image1_1729260478.jpg,poules-lapins-et-pigeons
Rex garenne,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4998472_uploaded_image1_1729159431.jpg,poules-lapins-et-pigeons
Pigeon pan indien,10 000 CFA,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4996843_uploaded_image1_1729085675.jpg,poules-lapins-et-pigeons
Poule Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4993341_uploaded_image1_1728920307.jpg,poules-lapins-et-pigeons
Couple lapins,15 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4981240_uploaded_image1_1728309289.jpg,poules-lapins-et-pigeons
Lapins,15 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4975768_uploaded_image1_1727986043.jpg,poules-lapins-et-pigeons
Coq,3 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4975038_uploaded_image1_1727964716.jpg,poules-lapins-et-pigeons
Lapin,15 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4966470_uploaded_image1_1727557573.jpg,poules-lapins-et-pigeons
Pigeon voyageur,Prix sur demande,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg,poules-lapins-et-pigeons
Pigeon voyageur,15 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946878_uploaded_image1_1726499637.jpg,poules-lapins-et-pigeons
Poulets Fermiers,10 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942161_uploaded_image1_1726204258.jpg,poules-lapins-et-pigeons
Pigeon voyageur,25 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4936241_uploaded_image1_1725920934.jpg,poules-lapins-et-pigeons
Poule Brahma,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4936101_uploaded_image1_1725915391.jpg,poules-lapins-et-pigeons
couples lapins,15 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4932369_uploaded_image1_1725702422.jpg,poules-lapins-et-pigeons
Pigeons Voyageurs  et boulants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4920745_uploaded_image1_1725167512.jpg,poules-lapins-et-pigeons
pigeon voyageur,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4917441_uploaded_image1_1724967120.jpg,poules-lapins-et-pigeons
Pigeon Boulant Gaditano,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4884507_uploaded_image1_1723139531.jpg,poules-lapins-et-pigeons
Lapin nain,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg,poules-lapins-et-pigeons
Cochin Caillouté Et Porteur Caillouté,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4862961_uploaded_image1_1722048205.jpg,poules-lapins-et-pigeons
Pigeon mondain noir,170 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4862270_uploaded_image1_1722006320.jpg,poules-lapins-et-pigeons
Pan indien blanc,35 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4860862_uploaded_image1_1721930737.jpg,poules-lapins-et-pigeons
Pigeons  Texan,20 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4860848_uploaded_image1_1721930260.jpg,poules-lapins-et-pigeons
Couple pigeon mondain blanc,70 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4853197_uploaded_image1_1721514569.jpg,poules-lapins-et-pigeons
Paires engoura,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4841263_uploaded_image1_1720874099.jpg,poules-lapins-et-pigeons
Jeune Mondain 2024,150 000 CFA,"Thiaroye, Sénégal",https://images.coinafrique.com/thumb_4840128_uploaded_image1_1720797760.jpg,poules-lapins-et-pigeons
Lapereaux métisse Géant et Californien,15 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4829597_uploaded_image1_1720290196.jpg,poules-lapins-et-pigeons
Poussin Herminé standard,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4824502_uploaded_image1_1720037338.jpg,poules-lapins-et-pigeons
Mâle brahman Hierminés,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4824501_uploaded_image1_1720037293.jpg,poules-lapins-et-pigeons
Cochin porteur caillouté paire,120 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4818681_uploaded_image1_1719796046.jpg,poules-lapins-et-pigeons
Hermines et cochins,500 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4817873_uploaded_image1_1719747122.jpg,poules-lapins-et-pigeons
Poulet du pays,3 500 CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4807968_uploaded_image1_1719229010.jpg,poules-lapins-et-pigeons
Poule Brahma,95 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4807398_uploaded_image1_1719187421.jpg,poules-lapins-et-pigeons
Jeune couple Mondain,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4800310_uploaded_image1_1718745887.jpg,poules-lapins-et-pigeons
Texan pionnier,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4800306_uploaded_image1_1718745517.jpg,poules-lapins-et-pigeons
Poulet race,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4787594_uploaded_image1_1717954434.jpg,poules-lapins-et-pigeons
Poulets,2 500 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg,poules-lapins-et-pigeons
Couple lapereau fauve de bourgogne,40 000 CFA,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4751808_uploaded_image1_1716133783.jpg,poules-lapins-et-pigeons
Poulets de chair,1 500 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg,poules-lapins-et-pigeons
Poulet,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4738369_uploaded_image1_1715444473.jpg,poules-lapins-et-pigeons
Pigeons voyageurs,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4729764_uploaded_image1_1715037972.jpg,poules-lapins-et-pigeons
Poulet Nègre de soie,35 000 CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723223_uploaded_image1_1714727157.jpg,poules-lapins-et-pigeons
Lapin Angora,20 000 CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4714367_uploaded_image1_1714245668.jpg,poules-lapins-et-pigeons
Pigeons King mâle,35 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4704120_uploaded_image1_1713750109.jpg,poules-lapins-et-pigeons
Lapereaux,13 500 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4703012_uploaded_image1_1713680804.jpg,poules-lapins-et-pigeons
Pigeon Mâle voyageur,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4690859_uploaded_image1_1713063647.jpg,poules-lapins-et-pigeons
Couple Pigeons voyageur,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4690857_uploaded_image1_1713063525.jpg,poules-lapins-et-pigeons
Pigeon Mondain écailler,170 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4685152_uploaded_image1_1712756876.jpg,poules-lapins-et-pigeons
Poulets de chair,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4667518_uploaded_image1_1711842967.jpg,poules-lapins-et-pigeons
Femelle andalou,250 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667144_uploaded_image1_1711815313.jpg,poules-lapins-et-pigeons
Pigeon voyageur à manteau,Prix sur demande,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4664901_uploaded_image1_1711663618.jpg,poules-lapins-et-pigeons
Pigeon Mondain Andalou,300 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4664895_uploaded_image1_1711663431.jpg,poules-lapins-et-pigeons
Pigeons,50 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4662585_uploaded_image1_1711547077.jpg,poules-lapins-et-pigeons
Pigeon Texan,80 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4653331_uploaded_image1_1711039616.jpg,poules-lapins-et-pigeons
Pigeons Mondain,225 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4653298_uploaded_image1_1711039158.jpg,poules-lapins-et-pigeons
Œufs à couver,12 500 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651892_uploaded_image1_1710962341.jpg,poules-lapins-et-pigeons
Couple  Brahma Herminé standard,80 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4650066_uploaded_image1_1710871182.jpg,poules-lapins-et-pigeons
Brahma,25 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4644724_uploaded_image1_1710589505.jpg,poules-lapins-et-pigeons
Pigeon Boulant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624925_uploaded_image1_1709567352.jpg,poules-lapins-et-pigeons
Pigeon King,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624920_uploaded_image1_1709567189.jpg,poules-lapins-et-pigeons
Pigeon voyageur,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624891_uploaded_image1_1709566248.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623025_uploaded_image1_1709471989.jpg,poules-lapins-et-pigeons
Pigeon voyageur Manteau Opale,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4621197_uploaded_image1_1709366454.jpg,poules-lapins-et-pigeons
Poussin oie,35 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4619799_uploaded_image1_1709296095.jpg,poules-lapins-et-pigeons
Poulets de chairs,3 500 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4612683_uploaded_image1_1708957200.jpg,poules-lapins-et-pigeons
Brahman bleu Lemon,40 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4612273_uploaded_image1_1708946489.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4612083_uploaded_image1_1708939903.jpg,poules-lapins-et-pigeons
Poussin Marans,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4603800_uploaded_image1_1708477906.jpg,poules-lapins-et-pigeons
Pigeons couple Mondain,170 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4598304_uploaded_image1_1708179510.jpg,poules-lapins-et-pigeons
Couples lapereaux,100 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4587998_uploaded_image1_1707587252.jpg,poules-lapins-et-pigeons
Pigeon Lahor,20 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4565457_uploaded_image1_1706369680.jpg,poules-lapins-et-pigeons
Pigeon Modain,160 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4561395_uploaded_image1_1706128448.jpg,poules-lapins-et-pigeons
Lapereau,10 000 CFA,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4556321_uploaded_image1_1705859521.jpg,poules-lapins-et-pigeons
Poulet de chaire,5 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4555523_uploaded_image1_1705793143.jpg,poules-lapins-et-pigeons
Pigeons King,60 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548383_uploaded_image1_1705424797.jpg,poules-lapins-et-pigeons
Paire pigeon  jeune King,60 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4545200_uploaded_image1_1705269534.jpg,poules-lapins-et-pigeons
Pigeons,5 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4542217_uploaded_image1_1705082041.jpg,poules-lapins-et-pigeons
Pigeons,5 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4542193_uploaded_image1_1705080975.jpg,poules-lapins-et-pigeons
Lapin,35 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517612_uploaded_image1_1703770805.jpg,poules-lapins-et-pigeons
Pigeon,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513662_uploaded_image2_1703531881.jpeg,poules-lapins-et-pigeons
Lapin,Prix sur demande,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513225_uploaded_image1_1703497424.jpg,poules-lapins-et-pigeons
Lapin fauve male,80 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512680_uploaded_image1_1703431761.jpg,poules-lapins-et-pigeons
Couple lapin,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4509856_uploaded_image1_1703213564.jpg,poules-lapins-et-pigeons
Poulet de chair,3 500 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4509252_uploaded_image1_1703175319.jpg,poules-lapins-et-pigeons
Couple lapereau,40 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4505997_uploaded_image1_1702997024.jpg,poules-lapins-et-pigeons
Couple lapin français,40 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4505989_uploaded_image1_1702996795.jpg,poules-lapins-et-pigeons
